category_model_1;category_model_2;category_model_3;category_model_4;category_model_5;category_model_6;category_model_7;model_annee;model_pays;model;vue_eclatee_type;vue_eclatee_number;vue_eclatee;vue_eclatee_image_preview;vue_eclatee_image;vue_eclatee_image_width;vue_eclatee_image_height;article_id;sequence_number;position_left;position_bottom;article;quantity
GasGas;Offroad;Enduro;E3;"2 stroke";"EC 300";"EC 300 2024";2024;EU;F0403X7;engine;30;"ENGINE CASE";https://sparepartsfinder.gasgas.com/Content/ComponentGroupIcons/1/1/30.gif;https://www.gasgasdealer.net/SPF/Images/maps/23A4403010.png;565;754;A44030000044;1;286;643;"Engine case cmpl.";1
GasGas;Offroad;Enduro;E3;"2 stroke";"EC 300";"EC 300 2024";2024;EU;F0403X7;engine;30;"ENGINE CASE";https://sparepartsfinder.gasgas.com/Content/ComponentGroupIcons/1/1/30.gif;https://www.gasgasdealer.net/SPF/Images/maps/23A4403010.png;565;754;58030021100;3;531;188;"oildrain plug with magnet";1
GasGas;Offroad;Enduro;E3;"2 stroke";"EC 300";"EC 300 2024";2024;EU;F0403X7;engine;30;"ENGINE CASE";https://sparepartsfinder.gasgas.com/Content/ComponentGroupIcons/1/1/30.gif;https://www.gasgasdealer.net/SPF/Images/maps/23A4403010.png;565;754;58030021100;3;380;725;"oildrain plug with magnet";1
GasGas;Offroad;Enduro;E3;"2 stroke";"EC 300";"EC 300 2024";2024;EU;F0403X7;engine;30;"ENGINE CASE";https://sparepartsfinder.gasgas.com/Content/ComponentGroupIcons/1/1/30.gif;https://www.gasgasdealer.net/SPF/Images/maps/23A4403010.png;565;754;58038022000;4;507;200;"CU-seal ring DIN7603-12X18X1.5";1
GasGas;Offroad;Enduro;E3;"2 stroke";"EC 300";"EC 300 2024";2024;EU;F0403X7;engine;30;"ENGINE CASE";https://sparepartsfinder.gasgas.com/Content/ComponentGroupIcons/1/1/30.gif;https://www.gasgasdealer.net/SPF/Images/maps/23A4403010.png;565;754;58038022000;4;402;725;"CU-seal ring DIN7603-12X18X1.5";1
GasGas;Offroad;Enduro;E3;"2 stroke";"EC 300";"EC 300 2024";2024;EU;F0403X7;engine;30;"ENGINE CASE";https://sparepartsfinder.gasgas.com/Content/ComponentGroupIcons/1/1/30.gif;https://www.gasgasdealer.net/SPF/Images/maps/23A4403010.png;565;754;0472042175;6;269;419;"CIRCLIP DIN0472-42X1,75";1
GasGas;Offroad;Enduro;E3;"2 stroke";"EC 300";"EC 300 2024";2024;EU;F0403X7;engine;30;"ENGINE CASE";https://sparepartsfinder.gasgas.com/Content/ComponentGroupIcons/1/1/30.gif;https://www.gasgasdealer.net/SPF/Images/maps/23A4403010.png;565;754;55430059100;7;318;302;"CIRCLIP DIN0472-28X1,2";1
GasGas;Offroad;Enduro;E3;"2 stroke";"EC 300";"EC 300 2024";2024;EU;F0403X7;engine;30;"ENGINE CASE";https://sparepartsfinder.gasgas.com/Content/ComponentGroupIcons/1/1/30.gif;https://www.gasgasdealer.net/SPF/Images/maps/23A4403010.png;565;754;75030085100;11;325;393;"Retaining bracket crankshaft b";3
GasGas;Offroad;Enduro;E3;"2 stroke";"EC 300";"EC 300 2024";2024;EU;F0403X7;engine;30;"ENGINE CASE";https://sparepartsfinder.gasgas.com/Content/ComponentGroupIcons/1/1/30.gif;https://www.gasgasdealer.net/SPF/Images/maps/23A4403010.png;565;754;75030085100;11;219;311;"Retaining bracket crankshaft b";3
GasGas;Offroad;Enduro;E3;"2 stroke";"EC 300";"EC 300 2024";2024;EU;F0403X7;engine;30;"ENGINE CASE";https://sparepartsfinder.gasgas.com/Content/ComponentGroupIcons/1/1/30.gif;https://www.gasgasdealer.net/SPF/Images/maps/23A4403010.png;565;754;75030085100;11;425;725;"Retaining bracket crankshaft b";3
