MODELNUMBER;année;article number;active/inactive;picture;Struktur DE;Kategorie DE;Modellname (DE);Text (DE);structure EN;Category EN;model name (EN);text (EN);structure EN-US;Category EN-US;model name (EN-US);text (EN-US);structure ES;Category ES;model name (ES);text (ES);structure FR;Category FR;model name (FR);text (FR);structure IT;Category IT;model name (IT);text (IT);attribut
$M-390ADVENTURE2024;2024;00JG457B;Active;pho_bike_90_re_my24_ktm_390_adventure_white_90_rightt_eu__sall__acmsg__v1.png; > Motorcycle > 390 Adventure 2024 > 2024 KTM 390 Adventure;390 Adventure 2024;2024 KTM 390 ADVENTURE;Die 2024 KTM 390 ADVENTURE vereint Allroad-Vielseitigkeit und bewahrte Zuverlassigkeit mit leistungsstarker Alltagstauglichkeit. Dadurch werden jeden Tag Abenteuer moglich.Angetrieben von einem bewahrten 373-ccm-Motor, der uber das 6-Gang-Getriebe 44 PS leistet, mit einem klassenfuhrenden Chassis und dank des 14,5 Liter Tanks einer Reichweite von 400 km, geht es entschlossenen auf die Stra e. Daruber hinaus sorgen verstellbare 43-mm-WP APEX-Gabeln, 170 mm Federweg, OFFROAD-MODUS und die Option auf 19/17 Heavy Duty Speichenrader fur perfekte Trailtauglichkeit. Fur weitere Informationen steht das vollstandige technische Datenblatt am Ende der Seite zum Download bereit. <br />; > Motorcycle > 390 Adventure 2024 > 2024 KTM 390 Adventure;390 Adventure 2024;2024 KTM 390 ADVENTURE;Merging all-road versatility and proven reliability with real-world performance, The 2024 KTM 390 ADVENTURE makes heading on an adventure an everyday possibility. Powered by a proven 373 cc powerplant churning out 44 HP via a 6-speed gearbox, a class-leading chassis, and a 400 km tank range thanks to a 14.5-litre tank, it hits the road with purposeful intent. Whats more, adjustable 43 mm WP APEX forks, 170 mm of wheel travel, OFFROAD MODE, and the option of 19/17 heavy-duty tubed spoked wheels, mean it is perfectly suited to the trail too. Download the full technical data sheet at the bottom for more info. <br />; > Motorcycle > 390 Adventure 2024 > 2024 KTM 390 Adventure;390 Adventure 2024;2024 KTM 390 ADVENTURE;Merging all-road versatility and proven reliability with real-world performance, The 2024 KTM 390 ADVENTURE makes heading on an adventure an everyday possibility. Powered by a proven 373 cc powerplant churning out 44 HP via a 6-speed gearbox, a class-leading chassis, and a 400 km tank range thanks to a 14.5-litre tank, it hits the road with purposeful intent. Whats more, adjustable 43 mm WP APEX forks, 170 mm of wheel travel, OFFROAD MODE, and the option of 19/17 heavy-duty tubed spoked wheels, mean it is perfectly suited to the trail too. Download the full technical data sheet at the bottom for more info. <br />; > Motorcycle > 390 Adventure 2024 > 2024 KTM 390 Adventure;390 Adventure 2024;2024 KTM 390 ADVENTURE;La KTM 390 ADVENTURE 2024 combina versatilidad todoterreno y fiabilidad comprobada con un rendimiento real en el mundo, lo que convierte la aventura en una posibilidad cotidiana.Propulsado por un probado motor de 373 cc que produce 44 HP a traves de una caja de cambios de 6 velocidades, un chasis lider en su clase y una autonomia de 400 km gracias a un deposito de 14,5 litros, se lanza a la carretera con una intencion decidida. Ademas, las horquillas ajustables WP APEX de 43 mm, 170 mm de recorrido de rueda, el MODO OFFROAD y la opcion de ruedas de radios tubulares resistentes de 19/17 lo hacen perfectamente adecuado para el sendero. Descargue la hoja tecnica completa en la parte inferior para obtener mas informacion <br />; > Motorcycle > 390 Adventure 2024 > 2024 KTM 390 Adventure;390 Adventure 2024;2024 KTM 390 ADVENTURE;"La KTM 390 ADVENTURE 2024 associe polyvalence tout-terrain et fiabilite eprouvee a des performances reelles, faisant de l aventure une possibilite quotidienne.Propulse par un moteur eprouve de 373 cm3 delivrant 44 ch via une boite de vitesses a 6 rapports, avec un chassis leader de sa categorie et une autonomie de 400 km grace a un reservoir de 14,5 litres, il prend la route avec determination. De plus, les fourches WP APEX de 43 mm reglables, une course de roue de 170 mm, le MODE OFFROAD et l option de roues a rayons robustes de 19/17 le rendent parfaitement adapte pour les sentiers. Vous pouvez telecharger la fiche technique complete en bas de la page pour plus d informations. <br /><table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-390ADVENTURE2025;2025;00JG67AS;Active;pho_bike_90_re_travel_ktm_2025_390_adventure_white_right_side_view_studio_image__sall__acmsg__v1.png; > Motorcycle > 390 Adventure 2025 > 2025 KTM 390 Adventure;390 Adventure 2025;2025 KTM 390 ADVENTURE;Merging all-road versatility and proven reliability with real-world performance, the KTM 390 ADVENTURE is the most off-road capable middleweight adventure bike in its segment. Yes, it s a bold claim, but with a 399cc powerplant, true rally-inspired design, and a 21/17 and quot and quot wheel split, this new addition to the KTM stable simply rewrites the rulebook. <p></p>; > Motorcycle > 390 Adventure 2025 > 2025 KTM 390 Adventure;390 Adventure 2025;2025 KTM 390 ADVENTURE;Merging all-road versatility and proven reliability with real-world performance, the KTM 390 ADVENTURE is the most off-road capable middleweight adventure bike in its segment. Yes, it s a bold claim, but with a 399cc powerplant, true rally-inspired design, and a 21/17 and quot and quot wheel split, this new addition to the KTM stable simply rewrites the rulebook. <p></p>; > Motorcycle > 390 Adventure 2025 > 2025 KTM 390 Adventure;390 Adventure 2025;2025 KTM 390 ADVENTURE;Merging all-road versatility and proven reliability with real-world performance, the KTM 390 ADVENTURE is the most off-road capable middleweight adventure bike in its segment. Yes, it s a bold claim, but with a 399cc powerplant, true rally-inspired design, and a 21/17 and quot and quot wheel split, this new addition to the KTM stable simply rewrites the rulebook. <p></p>; > Motorcycle > 390 Adventure 2025 > 2025 KTM 390 Adventure;390 Adventure 2025;2025 KTM 390 ADVENTURE;Merging all-road versatility and proven reliability with real-world performance, the KTM 390 ADVENTURE is the most off-road capable middleweight adventure bike in its segment. Yes, it s a bold claim, but with a 399cc powerplant, true rally-inspired design, and a 21/17 and quot and quot wheel split, this new addition to the KTM stable simply rewrites the rulebook. <p></p>; > Motorcycle > 390 Adventure 2025 > 2025 KTM 390 Adventure;390 Adventure 2025;2025 KTM 390 ADVENTURE;"Merging all-road versatility and proven reliability with real-world performance, the KTM 390 ADVENTURE is the most off-road capable middleweight adventure bike in its segment. Yes, it s a bold claim, but with a 399cc powerplant, true rally-inspired design, and a 21/17 and quot and quot wheel split, this new addition to the KTM stable simply rewrites the rulebook. <p></p><table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-390ENDUROR2025;2025;00JG68BP;Active;pho_bike_90_re_dual_sport_ktm_2025_390_enduro_r_orange_right_side_studio_image__sall__acmsg__v1.png; > Motorcycle > 390 Enduro R 2025 > 2025 KTM 390 Enduro R;390 Enduro R 2025;2025 KTM 390 ENDURO R;Wenn es darum geht, die ultimative Route zwischen A und B zu finden, stehen der KTM 390 ENDURO R alle Wege offen. Mit seinem au ergewohnlichen, leichten Handling und seiner kraftvollen Leistung sowohl auf Asphalt als auch auf unbefestigten Wegen ist dieser mittelschwere Kraftprotz bereit fur jede Stra e und jeden Weg. Mit modernsten Fahrhilfen, einstellbarem Fahrwerk und aggressivem, Enduro-inspiriertem Styling in einem kompletten Mittelgewichtspaket ist die KTM 390 ENDURO R fur alles bereit.; > Motorcycle > 390 Enduro R 2025 > 2025 KTM 390 Enduro R;390 Enduro R 2025;2025 KTM 390 ENDURO R;When deciding the ultimate route between points A and B, the KTM 390 ENDURO R owns every avenue. With exceptional, lightweight handling and punchy performance on both tarmac and dirt tracks, this middle-weight bruiser is ready to take on any road or commute. Packing state-of-the-art rider aids, adjustable suspension, and aggressive, enduro-inspired styling into a complete middle-weight package, the KTM 390 ENDURO R is ready for anything.; > Motorcycle > 390 Enduro R 2025 > 2025 KTM 390 Enduro R;390 Enduro R 2025;2025 KTM 390 ENDURO R;When deciding the ultimate route between points A and B, the KTM 390 ENDURO R owns every avenue. With exceptional, lightweight handling and punchy performance on both tarmac and dirt tracks, this middle-weight bruiser is ready to take on any road or commute. Packing state-of-the-art rider aids, adjustable suspension, and aggressive, enduro-inspired styling into a complete middle-weight package, the KTM 390 ENDURO R is ready for anything.; > Motorcycle > 390 Enduro R 2025 > 2025 KTM 390 Enduro R;390 Enduro R 2025;2025 KTM 390 ENDURO R;A la hora de decidir la ruta definitiva entre los puntos A y B, la KTM 390 ENDURO R es duena de todas las avenidas. Con un manejo excepcional y ligero y un rendimiento contundente tanto en asfalto como en pistas de tierra, esta bestia de peso medio esta lista para enfrentarse a cualquier carretera o trayecto. La KTM 390 ENDURO R esta preparada para todo gracias a sus ayudas de ultima generacion, su suspension ajustable y su estilo agresivo inspirado en el enduro.; > Motorcycle > 390 Enduro R 2025 > 2025 KTM 390 Enduro R;390 Enduro R 2025;2025 KTM 390 ENDURO R;"Lorsqu il s agit de choisir l itineraire ultime entre les points A et B, la KTM 390 ENDURO R possede toutes les cartes en main. Avec une maniabilite exceptionnelle et legere et des performances percutantes sur l asphalte et les chemins de terre, ce bolide de poids moyen est pret a affronter n importe quelle route ou n importe quel trajet. La KTM 390 ENDURO R est prete a tout, avec ses aides au pilotage de pointe, ses suspensions reglables et son style agressif inspire de l enduro, dans un ensemble complet de poids moyen.<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-250ADVENTURE2025;2025;00JG71AS;Active;pho_bike_90_re_travel_ktm_2025_250_adventure_white_right_side_view__sall__acmsg__v1.png; > Motorcycle > 250 Adventure 2025 > 2025 KTM 250 Adventure;250 Adventure 2025;2025 KTM 250 ADVENTURE;Merging all-road versatility and proven reliability with real-world performance, the KTM 250 ADVENTURE is engineered to seek out new horizons. Rally-inspired looks, punchy performance, and unmatched handling.<p></p>; > Motorcycle > 250 Adventure 2025 > 2025 KTM 250 Adventure;250 Adventure 2025;2025 KTM 250 ADVENTURE;Merging all-road versatility and proven reliability with real-world performance, the KTM 250 ADVENTURE is engineered to seek out new horizons. Rally-inspired looks, punchy performance, and unmatched handling.<p></p>; > Motorcycle > 250 Adventure 2025 > 2025 KTM 250 Adventure;250 Adventure 2025;2025 KTM 250 ADVENTURE;Merging all-road versatility and proven reliability with real-world performance, the KTM 250 ADVENTURE is engineered to seek out new horizons. Rally-inspired looks, punchy performance, and unmatched handling.<p></p>; > Motorcycle > 250 Adventure 2025 > 2025 KTM 250 Adventure;250 Adventure 2025;2025 KTM 250 ADVENTURE;Merging all-road versatility and proven reliability with real-world performance, the KTM 250 ADVENTURE is engineered to seek out new horizons. Rally-inspired looks, punchy performance, and unmatched handling.<p></p>; > Motorcycle > 250 Adventure 2025 > 2025 KTM 250 Adventure;250 Adventure 2025;2025 KTM 250 ADVENTURE;"Merging all-road versatility and proven reliability with real-world performance, the KTM 250 ADVENTURE is engineered to seek out new horizons. Rally-inspired looks, punchy performance, and unmatched handling.<p></p><table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-390ADVENTUREX2025;2025;00JG81AS;Active;pho_bike_90_re_travel_ktm_2025_390_adventure_x_white_right_side_studio_view_image__sall__acmsg__v1.png; > Motorcycle > 390 Adventure X 2025 > 2025 KTM 390 Adventure X;390 Adventure X 2025;2025 KTM 390 ADVENTURE X;Mit ihrer Kombination aus umwerfender Vielseitigkeit auf allen Stra en, bewahrter Zuverlassigkeit und Alltags-Performance ist die KTM 390 ADVENTURE X wie geschaffen, um neue Horizonte zu entdecken. Rally-inspiriertes Design, knackige Leistung und unubertroffenes Handling.; > Motorcycle > 390 Adventure X 2025 > 2025 KTM 390 Adventure X;390 Adventure X 2025;2025 KTM 390 ADVENTURE X;Merging all-road versatility and proven reliability with real-world performance, the KTM 390 ADVENTURE X is engineered to seek out new horizons. Rally-inspired looks, punchy performance, and unmatched handling.; > Motorcycle > 390 Adventure X 2025 > 2025 KTM 390 Adventure X;390 Adventure X 2025;2025 KTM 390 ADVENTURE X;Merging all-road versatility and proven reliability with real-world performance, the KTM 390 ADVENTURE X is engineered to seek out new horizons. Rally-inspired looks, punchy performance, and unmatched handling.; > Motorcycle > 390 Adventure X 2025 > 2025 KTM 390 Adventure X;390 Adventure X 2025;2025 KTM 390 ADVENTURE X;Fusionando versatilidad todoterreno y fiabilidad probada con prestaciones reales, la KTM 390 ADVENTURE X esta disenada para buscar nuevos horizontes. Aspecto inspirado en los rallies, prestaciones contundentes y una maniobrabilidad inigualable.; > Motorcycle > 390 Adventure X 2025 > 2025 KTM 390 Adventure X;390 Adventure X 2025;2025 KTM 390 ADVENTURE X;"Alliant la polyvalence tout-terrain et la fiabilite eprouvee aux performances reelles, la KTM 390 ADVENTURE X est concue pour partir a la recherche de nouveaux horizons. Une allure inspiree du rallye, des performances percutantes et une maniabilite inegalee.<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-250DUKE2024;2024;00JP8809;Active;pho_bike_90_re_ktm_naked_bikes_250_duke_blue_black__sall__acmsg__v1.png; > Motorcycle > 250 Duke 2024 > 2024 KTM 250 DUKE;250 Duke 2024;2024 KTM 250 DUKE;Mit ihrem 250 cm -Energiepaket strotzt die KTM 250 DUKE nur so vor Kraft. Diese Maschine ist zu 250 % DUKE Demselben NAKED-Ethos folgend wie ihre gro eren Schwestern, punktet die KTM 250 DUKE 2024 mit einer ganz neuen, muskulosen Ausstrahlung. Mit einem neuen Rahmen, Federungspaket, neuen LED-Scheinwerfern und einer neuen Riding Technologie ist ein noch dynamischerer Fahrstil auf gerader Strecke und in den Kurven moglich. <br />; > Motorcycle > 250 Duke 2024 > 2024 KTM 250 DUKE;250 Duke 2024;2024 KTM 250 DUKE;The KTM 250 DUKE flaunts with, a new 250 cc powerplant - this machine is 250% DUKE Built with the same NAKED ethos as its bigger brethren, the 2024 KTM 250 DUKE boasts an all-new, muscled-up attitude, complete with a fresh new frame, suspension package, LED lights, riding tech, and street-ripping, turn-gripping aggression. <br />; > Motorcycle > 250 Duke 2024 > 2024 KTM 250 DUKE;250 Duke 2024;2024 KTM 250 DUKE;The KTM 250 DUKE flaunts with, a new 250 cc powerplant - this machine is 250% DUKE Built with the same NAKED ethos as its bigger brethren, the 2024 KTM 250 DUKE boasts an all-new, muscled-up attitude, complete with a fresh new frame, suspension package, LED lights, riding tech, and street-ripping, turn-gripping aggression. <br />; > Motorcycle > 250 Duke 2024 > 2024 KTM 250 DUKE;250 Duke 2024;2024 KTM 250 DUKE;La KTM 250 DUKE equipa orgullosa un nuevo propulsor de 250 cc - esta maquina es 250% DUKE Construida con el mismo caracter NAKED que sus hermanas mayores, la KTM 250 DUKE 2024 presume de una actitud totalmente nueva y musculosa, con un nuevo chasis, suspensiones, luces LED, tecnologia de asistencia al pilotaje y una agresividad que arrasa en las calles y en las curvas. <br />; > Motorcycle > 250 Duke 2024 > 2024 KTM 250 DUKE;250 Duke 2024;2024 KTM 250 DUKE;"La KTM 250 DUKE s affiche avec un nouveau moteur de 250 cm - une moto DUKE a 250 % Construite autour de la meme base NAKED que son alter ego de plus grosse cylindree, la KTM 250 DUKE 2024 degage un caractere plus muscle inedit, equipe d un tout nouveau cadre, d un pack de suspensions, de phares a LED, de la technologie de pilotage et d une adherence en virages ultra-urbaine. <br /><table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-125LC2100WEISS1997;1997;110371;Active;pho_bike_90_re_1997_125_lc2_re_wei____sall__acmsg__v1.jpg; > Motorcycle > 125 LC2 100/WEISS 1997 > 125 LC2 100/WEISS 1997;125 LC2 100/WEISS 1997;125 LC2 100/WEISS 1997;125 LC2 100/WEISS 1997; > Motorcycle > 125 LC2 100/WEISS 1997 > 125 LC2 100/WEISS 1997;125 LC2 100/WEISS 1997;125 LC2 100/WEISS 1997;125 LC2 100/WEISS 1997; > Motorcycle > 125 LC2 100/WEISS 1997 > 125 LC2 100/WEISS 1997;125 LC2 100/WEISS 1997;125 LC2 100/WEISS 1997;125 LC2 100/WEISS 1997; > Motorcycle > 125 LC2 100/WEISS 1997 > 125 LC2 100/WEISS 1997;125 LC2 100/WEISS 1997;125 LC2 100/WEISS 1997;125 LC2 100/WEISS 1997; > Motorcycle > 125 LC2 100/WEISS 1997 > 125 LC2 100/WEISS 1997;125 LC2 100/WEISS 1997;125 LC2 100/WEISS 1997;"125 LC2 100/WEISS 1997<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-125STING1997;1997;110375;Active;pho_bike_90_re_1997_125_sting_re_frei__sall__acmsg__v1.jpg; > Motorcycle > 125 STING 1997 > 125 STING 1997;125 STING 1997;125 STING 1997;125 STING 1997; > Motorcycle > 125 STING 1997 > 125 STING 1997;125 STING 1997;125 STING 1997;125 STING 1997; > Motorcycle > 125 STING 1997 > 125 STING 1997;125 STING 1997;125 STING 1997;125 STING 1997; > Motorcycle > 125 STING 1997 > 125 STING 1997;125 STING 1997;125 STING 1997;125 STING 1997; > Motorcycle > 125 STING 1997 > 125 STING 1997;125 STING 1997;125 STING 1997;"125 STING 1997<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-125STING1998;1998;110385;Active;pho_bike_90_re_1998_125_sting_silber_re__sall__acmsg__v1.jpg; > Motorcycle > 125 STING 1998 > 125 STING 1998;125 STING 1998;125 STING 1998;125 STING 1998; > Motorcycle > 125 STING 1998 > 125 STING 1998;125 STING 1998;125 STING 1998;125 STING 1998; > Motorcycle > 125 STING 1998 > 125 STING 1998;125 STING 1998;125 STING 1998;125 STING 1998; > Motorcycle > 125 STING 1998 > 125 STING 1998;125 STING 1998;125 STING 1998;125 STING 1998; > Motorcycle > 125 STING 1998 > 125 STING 1998;125 STING 1998;125 STING 1998;"125 STING 1998<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
$M-125LC280ORANGEBRD1996;1996;112662;Active;pho_bike_90_re_1996_125_lc2_re_orange__sall__acmsg__v1.jpg; > Motorcycle > 125 LC2 80/ORANGE BRD 1996 > 125 LC2 80/ORANGE BRD 1996;125 LC2 80/ORANGE BRD 1996;125 LC2 80/ORANGE BRD 1996;125 LC2 80/ORANGE BRD 1996; > Motorcycle > 125 LC2 80/ORANGE BRD 1996 > 125 LC2 80/ORANGE BRD 1996;125 LC2 80/ORANGE BRD 1996;125 LC2 80/ORANGE BRD 1996;125 LC2 80/ORANGE BRD 1996; > Motorcycle > 125 LC2 80/ORANGE BRD 1996 > 125 LC2 80/ORANGE BRD 1996;125 LC2 80/ORANGE BRD 1996;125 LC2 80/ORANGE BRD 1996;125 LC2 80/ORANGE BRD 1996; > Motorcycle > 125 LC2 80/ORANGE BRD 1996 > 125 LC2 80/ORANGE BRD 1996;125 LC2 80/ORANGE BRD 1996;125 LC2 80/ORANGE BRD 1996;125 LC2 80/ORANGE BRD 1996; > Motorcycle > 125 LC2 80/ORANGE BRD 1996 > 125 LC2 80/ORANGE BRD 1996;125 LC2 80/ORANGE BRD 1996;125 LC2 80/ORANGE BRD 1996;"125 LC2 80/ORANGE BRD 1996<table style=""width:100%;border-collapse:collapse;margin-top:16px;border:1px solid #ffe0cc;border-radius:6px;overflow:hidden;"">
